open,high,low,close,volume
175.45,175.45,175.34,175.38,12928
175.38,175.45,175.19,175.45,21032
175.45,175.45,175.26,175.29,7776
175.29,175.49,175.29,175.44,9706
175.44,175.53,175.44,175.45,11588
175.49,175.6,175.45,175.6,10272
175.62,175.62,175.41,175.6,19206
175.6,175.79,175.56,175.66,10960
175.66,175.66,175.45,175.49,13150
175.44,175.44,175.29,175.36,14334
175.36,175.49,175.32,175.49,13868
175.49,175.62,175.45,175.59,10258
175.59,175.6,175.49,175.59,4920
175.56,175.56,175.26,175.32,17818
175.32,175.47,175.3,175.4,8192
175.38,175.59,175.38,175.51,15684
175.51,175.71,175.51,175.55,8842
175.56,175.75,175.49,175.75,11796
